station_name,available_bikes
Riverside Dr & W 91 St,0
E 76 St & 3 Ave,0
Fulton St & Adams St,39
W 52 St & 6 Ave,13
E 71 St & 1 Ave,0
Eckford St & Engert Ave,0
Bayard St & Leonard St,7
Devoe St & Lorimer St,5
Leonard St & Maujer St,1
Schermerhorn St & 3 Ave,27
Jackson St & Leonard St,0
E 58 St & Madison Ave,0
W 55 St & 6 Ave,27
E 53 St & 3 Ave,33
Murray St & Greenwich St,33
E 44 St & 2 Ave,39
E 16 St & Irving Pl,4
W 45 St & 6 Ave,30
W Broadway & Spring Street,41
India St & West St,21
W 15 St & 10 Ave,38
6 Ave & Spring St,35
Norman Ave & Leonard St,0
39 St & 2 Ave - Citi Bike HQ at Industry City,24
2 Ave & 36 St - Citi Bike HQ at Industry City,17
Picnic Point,10
Washington St,5
York St,6
Gold St & Frankfort St,31
